Name,Party,Stiftung gemeinnütziger Wohnungsbau,Separativer Unterricht,Kündigung Bilaterale Verträge,Ausbau Stadion Schützenwiese,Kostenmiete statt Marktmiete,Public-Private-Partnerships,Verdichtetes Bauen,Bau von Windkraftanlagen,Engere Beziehungen zur EU,Verbot automatisierter Gesichtserkennung,Freie Marktwirtschaft,Einsatz von Sozialdetektiv/-innen,Barrierefreies Wohnen,Kürzung Sozialausgaben,Neubau Alterszentrum Adlergarten,Wohnungsvergabe an Einwohnende,Tagesschulen,Handyverbot an Schulen,Gleiche Bildungschancen,Stimmrecht für Ausländer/-innen,Abschaffung Wohnsitzpflicht,Gebührenfreie Einbürgerung unter 25,Selbstfinanzierte Sprachkurse für Ausländer/-innen,Ausbau Kulturförderung,Finanzierung Internationale Kurzfilmtage,Verbot geschlechtsneutraler Sprache,Steuersenkung,Schuldenabbau,Einstellungsstopp Stadtverwaltung,Strengere Kontrollen Lohngleichheit,Bessere Arbeitsbedingungen Stadtpersonal,Parkbewilligungen für Schichtarbeitende,Ökologische Mindeststandards im Bau,Lockerung Denkmal- und Ortsbildschutz,Sanierung Campingplatz Schützenweiher,Velowege statt Parkplätze,Verzicht auf Tram- und S-Bahn-Ausbau,Förderung motorisierter Individualverkehr,Förderung Fernwärmeanschluss,Förderung Dach- und Fassadenbegrünung,Begrünung Stadtraum,Digitale Stadtverwaltung,Ausbau Auslandshilfe,Strikte Neutralitätspolitik,Massnahmen gegen Littering,Massnahmen gegen Drogenkonsum,Stärkeres Engagement gegen häusliche Gewalt,Erhöhte Polizeipräsenz,Staatliche Umverteilung,Bestrafung von Kriminellen,Umweltschutz,Links_Rechts,Liberal_Konservativ,Elected,x,y
Iris Kuster,Mitte,No,Rather yes,No,Rather yes,Rather yes,Yes,Rather yes,Rather yes,Rather yes,Rather no,6,Rather yes,Rather no,Rather no,Rather yes,Rather yes,Rather no,Yes,No,No,No,Rather no,Rather yes,Rather no,Rather no,Rather yes,Rather yes,Rather no,Rather yes,No,Rather no,Yes,No,Yes,No,Rather no,Rather no,Yes,No,No,Rather no,Rather no,No,No,Rather yes,Rather yes,Rather yes,Rather yes,2,5,2,24.0,5.5,1,0.49282296650717705,-0.3258426966292134
Andreas Geering,Mitte,Rather no,Rather yes,Rather no,Yes,Yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,5,Rather yes,Rather no,Rather no,Yes,Rather no,Rather yes,Rather yes,Rather yes,No,Rather yes,Rather yes,Rather yes,Rather no,No,No,Rather no,Rather yes,Rather no,Rather no,Rather no,Yes,Rather no,Rather yes,No,Rather no,No,Rather no,Rather no,Rather no,Rather no,Rather no,No,Rather no,Yes,Rather yes,Rather yes,Yes,3,5,3,6.5,1.0,1,0.1578947368421053,-0.12359550561797761
Kaspar Vogel,Mitte,No,No,No,Yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,5,Rather yes,No,No,Yes,Yes,No,Yes,Rather no,Rather yes,No,Rather no,Rather yes,Yes,Yes,No,Rather no,Rather no,Rather no,Rather yes,Rather no,Yes,No,Rather yes,Rather yes,Rather yes,Rather no,Rather no,No,No,Rather yes,No,No,Rather no,Yes,Rather yes,Yes,Rather no,4,2,5,-3.0,0.5,1,-0.02392344497607657,-0.101123595505618
André Zuraikat,Mitte,Rather no,Rather no,No,Yes,Rather yes,Yes,Yes,Yes,Yes,Rather no,6,Rather yes,Rather yes,No,Yes,Rather yes,Yes,Yes,Rather yes,No,No,Rather yes,Rather yes,Rather no,Rather yes,Rather no,Rather yes,Rather no,Rather no,Rather no,Rather no,Yes,No,Rather yes,No,Rather no,No,Rather yes,Rather yes,Rather yes,Rather no,Rather no,No,Rather no,Yes,Yes,Yes,Rather yes,2,3,4,4.5,0.5,1,0.11961722488038284,-0.101123595505618
Simon Bründler,Mitte,No,Rather no,No,Yes,Rather yes,Yes,Yes,Rather yes,Yes,Rather no,6,Rather yes,Rather no,Rather no,Yes,Rather yes,Rather yes,Yes,Rather no,No,No,Rather yes,Rather yes,Rather no,Rather no,Rather no,Rather yes,Rather no,Rather yes,Rather no,Rather no,Yes,No,Yes,Rather no,Rather no,No,Rather yes,No,No,Rather yes,Rather yes,No,Rather no,Yes,Yes,Yes,Rather yes,2,3,3,15.0,-1.5,1,0.32057416267942584,-0.011235955056179803
Jacqueline Scheiflinger-Mannhart,Mitte,Rather no,Rather no,No,Rather yes,Rather yes,Rather yes,Rather no,No,Rather no,Rather yes,6,Rather yes,Rather no,Rather no,Yes,Rather yes,Rather yes,Rather yes,No,No,No,No,Yes,Rather yes,Rather no,Rather no,Rather yes,Rather no,Rather no,No,Rather no,Yes,Rather no,Rather yes,No,No,No,Rather yes,Rather no,Rather yes,Rather no,Rather yes,No,Rather no,Yes,Yes,Yes,Yes,2,4,3,15.5,6.0,0,0.3301435406698565,-0.348314606741573
Dominik Kern,Mitte,Rather no,Rather yes,No,Yes,Rather yes,Yes,Yes,Yes,Rather no,No,6,Rather yes,Rather yes,No,Yes,Rather no,Rather yes,Yes,Yes,No,No,Rather yes,Rather no,Rather yes,Rather no,Rather no,Rather yes,Rather yes,Rather no,Rather no,No,Yes,Rather no,Rather yes,Rather no,Rather no,No,Rather yes,Rather no,Rather no,Rather no,Yes,No,Rather no,Rather no,Rather no,Rather yes,Rather yes,4,2,4,4.5,-5.5,0,0.11961722488038284,0.1685393258426966
Markus Schmid,Mitte,Rather yes,Yes,Yes,Yes,Rather yes,Rather yes,Rather yes,Yes,No,Rather no,7,Yes,Yes,Rather no,Yes,Yes,No,Rather no,Rather yes,No,No,No,Rather yes,Yes,Rather yes,Rather yes,Rather no,Yes,Rather yes,Yes,Rather yes,Yes,Rather yes,Rather no,Yes,No,Rather no,Yes,No,Rather yes,Yes,Yes,No,Rather no,Yes,Yes,Yes,Yes,4,5,5,10.5,9.0,0,0.23444976076555024,-0.4831460674157304
Cyrill Kammerlander,Mitte,No,Rather yes,Rather no,Yes,Rather no,Yes,Yes,Rather yes,Rather yes,No,6,Yes,Rather yes,Rather no,Yes,Rather yes,Rather yes,Yes,Rather yes,No,No,Yes,Rather yes,Rather no,Rather no,Rather yes,Rather yes,Rather yes,Yes,Rather yes,No,Yes,Rather yes,Yes,Rather no,Rather no,No,Rather yes,Rather no,Rather no,Rather yes,Yes,No,No,Yes,Yes,Yes,Yes,2,3,3,16.5,-2.0,0,0.34928229665071764,0.011235955056179803
Noel Birchler,Mitte,Rather no,Rather no,No,Rather yes,Rather no,Rather yes,Yes,Yes,Rather yes,Yes,5,Rather yes,Rather yes,No,Rather yes,Rather yes,Yes,Rather no,Yes,No,No,Rather no,Rather no,Rather no,No,Rather no,Yes,Rather no,No,Rather no,No,Rather no,Rather no,Yes,Rather no,Rather no,Rather no,Rather no,Rather no,Rather no,Rather no,Yes,Rather yes,Rather no,Yes,Yes,Yes,Yes,2,2,4,3.5,-6.5,0,0.1004784688995215,0.2134831460674157
Monika Vogel,Mitte,Rather no,Rather no,No,Yes,Rather yes,Rather yes,Yes,Yes,Yes,Rather yes,6,Rather yes,Rather yes,No,Yes,Rather yes,Rather no,Yes,Rather yes,Yes,No,No,Rather yes,Rather no,Rather yes,No,No,Rather no,No,Rather yes,Rather no,Yes,Rather yes,Rather yes,Rather yes,Yes,No,No,No,Rather no,Rather yes,Rather no,No,Rather no,Rather yes,Rather no,Yes,Rather no,4,2,6,-10.5,-4.5,0,-0.16746411483253587,0.1235955056179775
Andy Mätzler,Mitte,Rather no,Rather yes,Rather no,Yes,Rather yes,Yes,Yes,Yes,Yes,No,6,Rather no,Rather yes,Rather no,Yes,Rather no,Rather no,Rather yes,Rather yes,No,No,Yes,Rather no,Rather yes,Rather no,Rather no,Rather yes,Rather yes,Rather no,Rather no,No,Yes,Rather no,Rather yes,Rather no,Rather no,Rather no,Rather yes,Rather yes,Rather yes,Rather no,Yes,No,Rather yes,Rather no,Rather no,Rather yes,Rather yes,2,4,3,8.0,-5.0,0,0.1866028708133971,0.1460674157303371
Lucia Fritsche,Mitte,Rather no,Rather yes,Rather no,Yes,Rather yes,Yes,Rather yes,Rather yes,Rather no,Rather no,6,Rather yes,Rather no,Rather no,Yes,Yes,Rather no,Yes,No,No,No,No,Rather yes,Rather yes,Rather no,Rather no,Rather yes,Rather no,Rather yes,No,Rather no,Rather yes,No,Rather yes,No,Rather no,Rather no,Rather no,No,No,Rather no,Rather no,Rather no,Rather no,Yes,Yes,Yes,Yes,1,2,5,16.5,4.5,0,0.34928229665071764,-0.2808988764044944
Andreas Stopp,Mitte,Rather yes,Rather yes,No,Rather yes,Yes,Rather yes,Rather yes,Yes,Rather no,Rather no,5,Yes,Rather yes,No,Rather yes,Rather yes,Rather no,No,Yes,No,No,Rather no,Rather yes,Yes,Rather yes,Rather no,Rather yes,Rather yes,Rather no,Rather yes,Rather yes,Rather yes,Yes,No,Rather no,Rather no,Yes,Rather yes,Rather yes,Rather yes,Yes,Rather yes,Rather no,Yes,Yes,Yes,Yes,Yes,5,4,6,-2.5,8.5,0,-0.014354066985645897,-0.4606741573033708
Gabriela Geering,Mitte,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Rather no,3,Yes,Rather no,No,Rather no,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Rather no,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Rather yes,Yes,1,5,1,36.5,16.5,0,0.7320574162679425,-0.8202247191011236
Christopher Bauer,Mitte,Rather no,Rather no,No,Yes,Rather yes,Yes,Yes,Rather yes,Rather yes,No,6,Yes,Rather no,Rather no,Yes,Rather yes,Rather no,Yes,No,No,No,Rather no,Rather yes,Yes,Yes,Rather no,Rather yes,Rather no,Rather no,No,Rather no,Yes,No,Rather yes,No,Rather no,Rather yes,Yes,No,No,Rather no,Rather no,No,Rather no,Yes,Yes,Yes,Yes,2,5,2,20.0,8.5,0,0.4162679425837321,-0.4606741573033708
Patrick Gindrat,Mitte,Rather yes,Rather yes,No,Rather yes,Rather yes,Rather yes,Rather yes,Yes,Yes,Rather yes,6,Yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,Yes,Rather yes,Rather no,Rather yes,Rather yes,Rather no,Yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,Yes,Rather yes,Rather yes,Rather yes,Rather no,Rather yes,Rather yes,Rather yes,Rather no,Rather no,Rather yes,Rather yes,No,Yes,Yes,Yes,Rather yes,5,5,3,4.5,-1.0,0,0.11961722488038284,-0.03370786516853941
Marius Obertüfer,Mitte,Rather no,Rather no,No,Rather yes,Rather no,Rather yes,Yes,Rather yes,Yes,Rather yes,6,Rather yes,Rather no,Rather no,Rather yes,Rather no,Rather yes,Rather yes,Rather no,Rather no,No,Rather no,Rather yes,Rather no,Rather no,No,Rather yes,Rather no,Rather no,Rather no,Rather no,Rather yes,Rather yes,Rather yes,Rather no,Rather yes,Rather no,Rather yes,Rather no,No,Rather no,Rather yes,Rather no,No,Rather no,Rather yes,Rather yes,Rather no,1,2,5,4.5,-7.5,0,0.11961722488038284,0.2584269662921348
Paul Widmer,Mitte,Rather yes,Yes,Rather yes,No,Rather no,Rather no,No,No,Rather no,Rather no,7,Rather yes,Rather yes,Rather no,Rather yes,Yes,Rather yes,Yes,Yes,No,No,No,Yes,Rather yes,Rather yes,No,Yes,Yes,Yes,No,Rather no,Rather yes,Rather yes,No,No,Rather no,No,Rather yes,Rather yes,No,Rather no,Rather yes,Rather yes,Rather yes,Yes,Yes,Rather yes,Rather yes,3,3,3,15.5,5.0,0,0.3301435406698565,-0.303370786516854
Adem Öztürk,Mitte,Rather yes,Rather no,Rather yes,Rather no,Rather no,Rather yes,Rather no,Rather no,Rather yes,Rather yes,4,Rather yes,Rather no,Rather yes,Rather yes,Yes,Rather no,Yes,Rather yes,Rather yes,Rather yes,Rather no,Yes,Rather no,No,Rather yes,Rather yes,Rather yes,Rather no,Rather no,Rather no,Yes,Rather no,Rather yes,Rather no,Rather no,Rather yes,Rather yes,Rather no,Rather no,Rather no,Rather yes,No,Rather no,Rather yes,Yes,Rather no,Rather yes,4,7,2,20.5,6.0,0,0.42583732057416257,-0.348314606741573
Tonja Maria Kammerlander,Mitte,No,Yes,Rather no,No,Rather no,Yes,Rather yes,Rather yes,Rather yes,No,6,Yes,Yes,Rather no,Yes,Rather yes,Rather yes,Yes,Rather yes,No,No,Rather yes,Rather yes,Rather no,No,Rather yes,Rather yes,Yes,Yes,Yes,No,Rather yes,Rather yes,Yes,No,Rather no,Yes,Rather yes,Rather no,Rather no,Rather yes,Yes,No,No,Yes,Rather no,Yes,Yes,2,4,5,18.0,0.0,0,0.37799043062200965,-0.0786516853932584
Yvonne Soltermann,Mitte,Rather yes,Rather yes,No,Yes,Rather yes,Yes,Yes,Rather yes,Rather yes,Rather no,5,Rather yes,Rather yes,No,Yes,Yes,Rather no,Yes,Rather no,No,No,No,Rather no,Rather no,Rather no,No,Rather no,Rather no,Rather no,Rather no,Rather no,Yes,Rather no,Rather yes,Rather yes,Rather no,No,Rather yes,Yes,Rather yes,Rather yes,No,No,Rather no,Yes,Rather yes,Yes,Yes,3,5,4,6.0,8.0,0,0.14832535885167464,-0.4382022471910112
Michal Roost,Mitte,Rather no,Rather no,Rather no,Rather no,Rather yes,Rather yes,Yes,Rather no,Rather no,No,3,Rather yes,Yes,Rather no,Rather yes,Yes,Rather yes,Yes,No,Rather no,No,Rather no,Rather yes,Rather yes,No,No,Yes,Rather yes,Rather no,Yes,Rather no,Yes,No,Yes,No,No,Rather no,Yes,No,No,Rather no,Rather yes,No,Rather no,Yes,Yes,Yes,Yes,5,4,5,13.5,7.5,0,0.29186602870813405,-0.4157303370786516
Jean-Pierre Wollenschläger,Mitte,Yes,Rather no,Rather no,No,Yes,Yes,Yes,Rather no,Rather yes,Rather no,5,Yes,Rather yes,Rather no,Rather yes,Yes,Rather yes,Rather yes,Rather yes,Rather no,Rather no,Rather yes,Rather no,Rather no,Rather no,Yes,Rather yes,Yes,Yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,No,Rather yes,Rather no,No,Rather no,Rather no,Rather yes,Yes,Rather no,Rather yes,Yes,Rather no,Rather yes,Yes,6,5,4,6.0,-1.5,0,0.14832535885167464,-0.011235955056179803
Jonathan Landolt,Mitte,Rather yes,Rather yes,No,Rather yes,Rather yes,Yes,Yes,Rather yes,Rather yes,Rather yes,5,Rather yes,Rather yes,Rather no,Yes,Rather yes,Rather yes,Rather yes,Yes,Rather yes,Rather no,Rather yes,Rather yes,Rather yes,Rather no,No,Rather yes,Rather yes,Rather no,Yes,Rather no,Yes,Rather yes,Rather yes,Rather yes,Rather no,No,Rather yes,Rather yes,Rather yes,Yes,Rather no,Rather no,No,Rather yes,Rather yes,Yes,Rather no,6,2,5,-11.0,-6.5,0,-0.17703349282296654,0.2134831460674157
Priska Vogel,Mitte,Rather yes,No,No,Yes,Rather yes,Rather yes,Yes,Yes,Yes,Rather no,3,Rather yes,Rather no,No,Yes,No,Rather yes,Yes,Rather yes,Yes,Rather no,Rather no,Rather no,Rather yes,Rather yes,No,No,No,Rather no,Rather yes,Rather no,Yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather no,No,No,Rather no,Rather no,Rather yes,No,No,Rather no,Rather yes,Yes,Rather no,5,1,5,-17.0,-6.5,0,-0.29186602870813394,0.2134831460674157
Gabi Bienz,Mitte,Rather yes,Rather no,Rather no,Rather no,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,No,5,No,Rather yes,No,Yes,Yes,Yes,Yes,Rather yes,Rather yes,No,Rather yes,Yes,Rather no,Rather yes,No,Rather yes,Rather no,Rather yes,Rather yes,Rather no,Rather yes,No,Rather no,Yes,No,Rather yes,Rather yes,Rather no,Rather no,Rather no,Yes,No,Rather no,Rather yes,Rather no,Yes,Rather yes,2,2,5,2.5,-2.0,0,0.08133971291866038,0.011235955056179803
Othmar Mannhart,Mitte,Rather no,Rather yes,Rather no,Rather yes,Rather yes,Rather yes,Rather no,No,Rather no,Rather no,5,Yes,Rather yes,Rather yes,Yes,Rather yes,Rather no,Yes,Rather yes,No,No,No,Yes,Yes,Rather no,No,Rather yes,Yes,Rather yes,Rather no,Rather no,Yes,Rather no,Rather yes,No,No,No,Rather yes,Rather no,Rather no,Rather no,Rather no,No,Rather yes,Yes,Rather yes,Rather no,Yes,4,5,5,17.5,7.5,0,0.368421052631579,-0.4157303370786516
Sarah Paul,Mitte,Rather no,Rather no,Rather yes,Rather no,Rather yes,Rather yes,Rather no,No,Rather no,No,2,Yes,Rather no,Rather no,Rather no,Yes,Yes,Yes,Yes,No,No,No,No,Rather no,Rather no,Rather yes,Yes,No,Yes,Rather no,Yes,Yes,No,Rather no,Rather yes,No,Yes,Rather no,Yes,Yes,Rather yes,Yes,No,Rather yes,No,No,Rather no,No,5,3,6,3.0,5.5,0,0.09090909090909083,-0.3258426966292134
Kerstin Mannhart,Mitte,Rather no,No,Rather no,Yes,Yes,Yes,Yes,Rather no,No,No,5,Yes,Yes,No,Yes,Rather no,Rather yes,Yes,Rather no,No,No,Rather yes,Rather no,Rather yes,Rather no,Rather no,Rather yes,Rather yes,Rather no,Rather no,No,Yes,Rather no,Rather yes,No,No,No,Yes,No,Rather no,No,No,No,Rather no,Yes,Rather yes,Yes,Yes,4,2,4,8.0,3.0,0,0.1866028708133971,-0.2134831460674158
Rafael Osuna,Mitte,Rather yes,Rather no,No,Yes,Rather no,No,Rather yes,Yes,Yes,Rather no,5,Yes,Rather no,No,Rather yes,No,Rather yes,Rather yes,Yes,Yes,No,No,Rather no,Yes,Yes,Yes,No,No,No,Rather yes,Rather no,Yes,Rather no,Rather no,Rather yes,No,No,Rather yes,No,Yes,Rather yes,Rather yes,Rather no,No,Yes,Rather yes,Yes,Rather no,5,4,5,-10.0,2.5,0,-0.1578947368421053,-0.1910112359550562
Esther Hauser,Mitte,Rather no,Rather yes,Rather no,Rather yes,Rather no,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,4,Rather yes,Rather yes,Rather no,Yes,Rather no,Rather yes,Yes,Rather no,Rather no,No,Rather no,Rather yes,Rather no,No,Rather no,Rather yes,Rather no,No,Rather no,Rather no,Yes,Rather no,Rather yes,Rather no,Rather yes,Rather no,Rather yes,Rather no,Rather no,Rather yes,No,No,Rather no,Rather no,Yes,Rather yes,Rather yes,2,2,5,3.5,2.5,0,0.1004784688995215,-0.1910112359550562
Stefan Bienz,Mitte,Rather no,Rather yes,No,Rather yes,Rather no,Yes,Yes,Yes,Yes,No,5,Yes,Rather no,No,Yes,Rather yes,Rather no,Yes,No,No,Rather yes,Rather no,No,Rather yes,Rather no,No,Rather yes,Rather no,Rather yes,No,Rather no,Yes,No,Yes,No,No,No,Rather yes,Rather yes,No,Rather no,Rather no,No,No,Yes,Yes,Rather yes,Rather yes,2,3,4,12.5,-0.5,0,0.2727272727272727,-0.05617977528089879
Henry Wild,Mitte,Yes,Rather yes,No,Rather yes,Yes,Rather no,No,Yes,Yes,Rather no,7,Rather yes,Yes,No,Yes,Yes,Rather yes,Rather no,Yes,Yes,Rather yes,Rather yes,Rather no,Yes,Rather yes,Rather yes,Rather yes,No,No,Yes,Yes,Yes,Rather yes,Rather no,Rather yes,Rather no,Rather no,Rather yes,Rather yes,Rather yes,Rather yes,Rather no,Rather yes,No,Rather yes,Yes,Yes,Yes,7,4,7,-21.0,2.5,0,-0.368421052631579,-0.1910112359550562
Harry Joelson,Mitte,Rather no,Yes,Rather no,Rather yes,Yes,Yes,Rather yes,Rather yes,No,No,6,Yes,Rather yes,Rather yes,Rather yes,No,Yes,Yes,Rather no,No,No,No,Rather no,Yes,No,Yes,Rather yes,Yes,Yes,No,No,Yes,Rather no,No,No,Rather no,Rather no,Rather yes,No,No,Yes,Rather no,No,No,Yes,Yes,Yes,Yes,1,4,4,19.0,6.5,0,0.3971291866028708,-0.3707865168539326
Darius Vogel,Mitte,Yes,No,No,Yes,Rather yes,Rather yes,Yes,Yes,Rather yes,Rather no,4,Rather yes,Rather no,No,Yes,Rather yes,Rather yes,Yes,Rather yes,Rather yes,Rather no,Rather no,Rather yes,Rather yes,Rather yes,No,Rather no,No,Rather no,Rather no,No,Yes,Rather yes,No,Rather yes,Rather no,Rather no,No,Rather no,Rather no,Rather yes,Rather yes,No,No,Rather yes,Rather yes,Yes,Rather no,6,1,6,-14.0,-2.0,0,-0.23444976076555024,0.011235955056179803
Rahel Sager,Mitte,Rather no,Rather no,No,Yes,Rather yes,Yes,Rather yes,Rather yes,Rather yes,Rather no,6,Rather yes,Rather no,Rather no,Yes,Rather yes,Rather yes,Yes,No,No,No,Rather no,Rather yes,Rather yes,Rather no,Rather no,Rather yes,Rather no,Rather no,Rather no,Rather no,Yes,No,Rather yes,Rather no,Rather no,No,Rather yes,No,No,Rather yes,Rather no,No,Rather no,Yes,Yes,Rather yes,Rather yes,2,3,3,13.0,3.5,0,0.2822966507177034,-0.2359550561797752
Patrick Colombo,Mitte,Yes,Yes,No,Yes,Rather yes,Yes,Yes,Yes,Yes,Rather no,5,Rather yes,Yes,No,Yes,Yes,Rather yes,Rather yes,Yes,Yes,No,Rather no,Rather no,Yes,Rather yes,No,Rather no,Rather no,Rather no,Yes,Rather yes,Yes,Rather yes,Yes,No,No,Rather yes,Rather yes,Rather yes,Yes,Rather yes,No,Rather no,No,Yes,Yes,Yes,Rather yes,2,1,5,-9.5,0.0,0,-0.14832535885167464,-0.0786516853932584
Markus Läderach,Mitte,Rather yes,No,No,Yes,Rather yes,Rather yes,Yes,Yes,Rather yes,Yes,7,No,Rather yes,No,Yes,No,Rather yes,Yes,Rather no,No,No,Yes,Yes,Rather yes,Rather no,Rather yes,Rather yes,Rather yes,Rather yes,No,Yes,Yes,Rather yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Rather no,No,Yes,Yes,Yes,Yes,Rather yes,1,7,2,13.0,3.0,0,0.2822966507177034,-0.2134831460674158
Annina Dillier,Mitte,Rather no,Rather no,No,Rather yes,Rather yes,Rather yes,Yes,Rather yes,Rather yes,Rather no,5,Rather yes,Rather yes,No,Rather yes,Rather yes,Rather no,Rather yes,Rather yes,Rather yes,Rather no,Rather no,Rather no,Rather no,Rather no,No,Rather yes,Rather no,Rather no,Rather yes,Rather no,Rather yes,Rather yes,Rather no,Rather yes,Rather yes,Rather no,Rather no,Rather no,Rather no,Rather yes,Rather no,Rather yes,Rather no,Yes,Rather yes,Yes,Rather yes,3,3,5,-4.0,-1.0,0,-0.0430622009569378,-0.03370786516853941
Anna Böhme,Mitte,No,Yes,No,No,Yes,Rather yes,Yes,Rather no,Yes,Rather no,6,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Rather yes,No,Yes,No,Yes,Rather yes,Rather yes,Rather yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Rather no,Rather no,Yes,Yes,No,No,Yes,Rather yes,Rather yes,Yes,5,5,7,7.5,0.0,0,0.17703349282296643,-0.0786516853932584
Louis Borgogno,Mitte,Rather no,Rather yes,Rather no,Yes,Rather yes,Yes,Rather yes,Rather yes,No,No,6,Yes,Rather no,Rather no,Yes,Yes,No,Yes,Rather no,No,No,Rather no,Yes,No,Rather no,Yes,Rather no,Rather yes,Yes,No,No,Yes,Rather no,Rather no,Rather no,Rather yes,No,Rather yes,Rather no,No,Rather no,Rather yes,No,Rather no,Rather yes,Yes,Rather no,Rather yes,3,2,5,20.0,6.5,0,0.4162679425837321,-0.3707865168539326
Michael Furrer,Mitte,Rather no,Rather yes,Rather no,Rather yes,Rather no,Rather yes,Yes,Rather yes,Rather no,Rather no,6,Rather yes,Rather yes,Rather yes,Yes,Rather yes,Rather no,Rather yes,No,No,No,No,Yes,Rather no,No,Rather no,Rather yes,Rather no,Rather yes,No,Rather no,Rather yes,No,Rather yes,Rather yes,Rather no,Rather no,Yes,No,No,Rather no,Rather yes,No,Yes,Rather yes,Yes,Rather yes,Rather yes,2,4,3,26.0,5.0,0,0.5311004784688995,-0.303370786516854
Charles Sarasin,Mitte,No,Yes,Rather no,No,Rather yes,Yes,Yes,Rather yes,Rather no,Rather no,6,Yes,Rather no,Rather yes,Yes,Rather yes,Rather no,Yes,No,Rather no,No,No,Rather yes,No,No,Yes,Rather yes,Rather yes,Rather yes,No,Rather no,Yes,No,Yes,No,No,No,Yes,No,No,Rather no,Rather yes,No,No,Yes,Yes,Rather yes,Rather yes,3,4,3,30.5,4.5,0,0.6172248803827751,-0.2808988764044944
Daniela Stukalina,Mitte,Rather no,Rather yes,No,No,Rather yes,Yes,Yes,Rather yes,Rather yes,Rather no,6,Yes,Rather yes,Rather no,Rather no,Yes,Rather no,Rather yes,No,No,No,No,Rather yes,Rather no,Rather no,Rather no,Yes,Rather no,Rather no,Rather yes,Rather no,Yes,No,Rather yes,No,No,No,Yes,Rather yes,No,Rather yes,Rather no,No,Rather no,Yes,Yes,Yes,Yes,2,4,3,20.0,6.5,0,0.4162679425837321,-0.3707865168539326
Stefan Züger,Mitte,No,Rather no,Rather no,Yes,Rather yes,Yes,Yes,No,No,Yes,5,Rather yes,Rather no,Rather no,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Rather no,Yes,No,No,Yes,Rather no,Yes,Rather yes,Rather no,Yes,Rather yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Rather yes,Yes,3,4,2,22.5,4.5,0,0.46411483253588526,-0.2808988764044944
Widtmann Brian,Mitte,Rather no,Rather no,No,Yes,Yes,Rather yes,Yes,Rather yes,Rather yes,Yes,5,Rather yes,Rather yes,Rather no,Yes,Rather yes,Rather no,Rather no,Rather yes,Rather no,Rather no,No,Rather yes,Rather no,Rather no,Rather no,Rather yes,Rather no,Rather no,Rather no,Rather no,Yes,Rather no,Rather no,No,Rather no,Rather no,Rather no,Rather no,Rather yes,Rather no,Rather yes,Rather no,Rather no,Yes,Rather yes,Yes,Rather yes,4,3,4,1.0,-1.0,0,0.05263157894736836,-0.03370786516853941
Peter Hünerwadel,Mitte,Rather yes,Rather yes,Rather no,Yes,No,Yes,No,Rather no,No,Yes,7,Rather no,Yes,No,Rather yes,Rather yes,Rather no,Rather yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Rather no,Rather no,Yes,Yes,No,Yes,No,No,Rather yes,Yes,Yes,Yes,Yes,Rather yes,No,Yes,Yes,Yes,Yes,Rather no,1,5,2,14.0,0.5,0,0.3014354066985645,-0.101123595505618
Thomas Zumstein,Mitte,No,Yes,Rather no,Yes,No,Rather yes,Yes,Rather yes,Rather yes,No,6,Rather yes,Rather no,Rather yes,Rather yes,Rather no,Rather yes,Rather no,Rather no,Rather yes,Rather yes,Yes,Rather no,No,No,Rather no,Yes,Rather yes,Yes,No,No,Yes,Rather no,Yes,Rather no,Rather no,Rather no,Rather yes,Rather yes,No,Rather yes,Yes,Rather no,Rather no,Rather yes,Rather yes,Rather yes,Rather yes,4,5,3,15.5,-8.5,0,0.3301435406698565,0.3033707865168539
Annetta Steiner,GLP,Rather no,Rather yes,No,Rather yes,No,Yes,Yes,Yes,Yes,Rather no,5,Rather yes,Rather yes,No,Rather yes,Yes,Rather yes,Rather no,Rather yes,Rather yes,Rather yes,Rather yes,Rather no,Rather no,Rather no,No,Rather no,Rather no,No,Rather no,Rather no,Yes,Rather yes,Yes,Rather yes,Yes,No,No,No,No,Rather yes,Yes,Rather no,No,Rather no,Rather yes,Rather yes,Rather no,5,2,6,-8.5,-11.0,1,-0.1291866028708134,0.4157303370786517
